"x1,1","x1,2","x1,3","x1,4","x2,1","x2,2","x2,3","x2,4"
7.651,21.261,32.809,6.381,7.647,21.072,32.392,7.022
7.647,21.072,32.392,7.022,7.668,21.002,32.448,6.868
7.668,21.002,32.448,6.868,7.654,21.148,32.238,6.595
7.654,21.148,32.238,6.595,7.589,21.221,31.977,6.682
7.589,21.221,31.977,6.682,7.462,21.466,31.863,4.628
7.462,21.466,31.863,4.628,7.348,21.535,31.625,5.064
7.348,21.535,31.625,5.064,7.374,21.794,31.625,5.396
7.374,21.794,31.625,5.396,7.387,21.939,31.956,5.792
7.387,21.939,31.956,5.792,7.407,22.477,31.787,6.267
7.407,22.477,31.787,6.267,7.41,22.55,32.088,5.9
7.41,22.55,32.088,5.9,7.389,22.275,31.844,5.426
7.389,22.275,31.844,5.426,7.427,21.777,31.831,6.743
7.427,21.777,31.831,6.743,7.535,21.929,31.471,7.292
7.535,21.929,31.471,7.292,7.601,22.098,30.61,7.182
7.601,22.098,30.61,7.182,7.658,22.21,31.115,6.996
7.658,22.21,31.115,6.996,7.668,22.205,31.449,6.295
7.668,22.205,31.449,6.295,7.648,22.349,30.264,5.627
7.648,22.349,30.264,5.627,7.687,22.608,30.192,6.722
7.687,22.608,30.192,6.722,7.776,23.342,30.353,6.211
7.776,23.342,30.353,6.211,7.739,22.745,30.223,5.605
7.739,22.745,30.223,5.605,7.602,20.743,30.364,6.21
7.602,20.743,30.364,6.21,7.668,19.551,30.204,6.97
7.668,19.551,30.204,6.97,7.818,18.634,30.268,7.98
7.818,18.634,30.268,7.98,7.883,18.41,28.678,7.75
7.883,18.41,28.678,7.75,7.909,18.539,30.304,7.85
7.909,18.539,30.304,7.85,7.902,18.949,30.459,8.872
7.902,18.949,30.459,8.872,7.901,19.764,30.354,8.989
7.901,19.764,30.354,8.989,7.874,20.771,30.377,7.973
7.874,20.771,30.377,7.973,7.833,21.661,30.389,7.189
7.833,21.661,30.389,7.189,7.826,22.686,30.385,6.706
7.826,22.686,30.385,6.706,7.86,23.393,30.407,5.655
7.86,23.393,30.407,5.655,7.817,23.731,30.258,4.291
7.817,23.731,30.258,4.291,7.741,23.967,30.451,5.561
7.741,23.967,30.451,5.561,7.665,24.077,30.884,5.523
7.665,24.077,30.884,5.523,7.646,23.706,31.05,5.705
7.646,23.706,31.05,5.705,7.636,23.451,31.119,5.563
7.636,23.451,31.119,5.563,7.691,23.352,30.914,6.142
7.691,23.352,30.914,6.142,7.778,23.059,30.77,6.633
7.778,23.059,30.77,6.633,7.816,22.869,30.83,5.729
7.816,22.869,30.83,5.729,7.758,22.468,30.825,4.71
7.758,22.468,30.825,4.71,7.719,21.556,31.377,6.118
7.719,21.556,31.377,6.118,7.819,21.488,31.365,6.502
7.819,21.488,31.365,6.502,7.825,21.111,31.273,5.03
7.825,21.111,31.273,5.03,7.788,20.689,31.107,6.945
7.788,20.689,31.107,6.945,7.776,20.164,31.038,6.735
7.776,20.164,31.038,6.735,7.742,19.018,29.251,7.185
7.742,19.018,29.251,7.185,7.726,17.66,26.729,7.6
7.726,17.66,26.729,7.6,7.739,16.872,26.715,8.708
7.739,16.872,26.715,8.708,7.745,17.089,26.637,6.553
7.745,17.089,26.637,6.553,7.721,17.2,26.549,7.347
7.721,17.2,26.549,7.347,7.776,18.204,26.515,8.712
7.776,18.204,26.515,8.712,7.865,19.954,26.483,8.376
7.865,19.954,26.483,8.376,7.809,20.625,26.343,5.696
7.809,20.625,26.343,5.696,7.776,20.252,26.506,6.986
7.776,20.252,26.506,6.986,7.821,20.426,24.368,7.393
7.821,20.426,24.368,7.393,7.433,20.772,20.406,2.591
7.433,20.772,20.406,2.591,7.758,21.975,21.544,7.006
7.758,21.975,21.544,7.006,7.929,23.036,25.477,4.51
7.929,23.036,25.477,4.51,7.37,23.135,22.295,2.64
7.37,23.135,22.295,2.64,7.263,22.962,21.281,4.076
7.263,22.962,21.281,4.076,8.162,23.665,25.466,8.272
8.162,23.665,25.466,8.272,8.223,24.486,25.573,7.778
8.223,24.486,25.573,7.778,8.238,25.245,25.664,7.147
8.238,25.245,25.664,7.147,8.217,24.914,25.921,6.158
8.217,24.914,25.921,6.158,8.168,24.169,25.988,7.054
8.168,24.169,25.988,7.054,8.084,23.856,26.143,4.449
8.084,23.856,26.143,4.449,7.934,23.849,26.037,5.367
7.934,23.849,26.037,5.367,7.839,24.076,26.17,5.017
7.839,24.076,26.17,5.017,7.853,24.15,26.089,6.302
